NAME,PCODE,Date,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타,출루,OPS
LT김민수,67504,2021-04-18,4,17,2,3,1,0,0,4,0,0,0,1,0,0,8,0,0,0,70,1.0,0.17647058823529413,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,0.41935483870967744,0.3235294117647059,0.7428842504743833
LT김민수,67504,2021-05-12,8,31,2,8,2,0,1,13,5,0,0,3,0,0,11,0,1,0,136,6.0,0.25806451612903225,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,0.4117647058823529,0.34210526315789475,0.7538699690402477
LT김민수,67504,2021-06-05,17,68,9,19,4,1,1,28,9,0,0,7,0,0,12,3,0,1,295,9.0,0.27941176470588236,0.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,11.0,7.0,0.15384615384615385,0.26666666666666666,0.4205128205128205
SK김재현,76869,2018-05-15,5,15,6,3,0,0,0,3,0,2,0,2,2,0,4,0,0,0,70,0.0,0.2,0.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,11.0,6.0,0.42857142857142855,0.5,0.9285714285714286
SK김재현,76869,2018-08-19,0,2,3,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.48,0.43333333333333335,0.9133333333333333
SK김재현,76869,2018-09-12,6,25,6,8,1,0,1,12,2,1,0,4,1,0,6,0,0,0,105,0.0,0.32,2.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,0.16666666666666666,0.25,0.41666666666666663
SK김재현,76869,2018-10-06,3,18,1,3,0,0,0,3,1,3,0,2,0,0,3,0,0,0,76,2.0,0.16666666666666666,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.1111111111111111,0.1111111111111111,0.2222222222222222
SS김민수,64793,2019-03-23,2,10,2,4,0,0,0,4,1,0,0,0,0,0,3,0,0,1,36,0.0,0.4,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
SS김민수,64793,2019-04-16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
SS김민수,64793,2019-06-27,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.1,0.18181818181818182,0.28181818181818186
SS김민수,64793,2019-07-21,1,10,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,54,0.0,0.1,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,0.6666666666666666,0.3333333333333333,1.0
SS김민수,64793,2019-08-14,1,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,9,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.14285714285714285,0.2857142857142857
SS김민수,64793,2021-04-18,7,23,4,8,4,0,2,18,4,0,0,2,0,0,2,2,0,0,92,4.0,0.34782608695652173,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,6.0,3.0,0.17647058823529413,0.2631578947368421,0.4396284829721362
SS김민수,64793,2021-05-12,3,17,2,3,0,0,0,3,0,0,0,2,0,0,3,0,1,0,77,1.0,0.17647058823529413,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,4.0,0.5555555555555556,0.2727272727272727,0.8282828282828283
SS김민수,64793,2021-06-05,2,9,1,2,0,0,1,5,4,0,0,0,1,0,3,0,0,1,37,3.0,0.2222222222222222,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
SS김민수,64793,2021-06-29,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.36363636363636365,0.25,0.6136363636363636
SS김민수,64793,2021-07-23,3,11,1,3,1,0,0,4,5,0,0,0,0,0,2,0,0,1,48,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
WO김재현,62332,2018-03-27,6,18,3,4,2,0,0,6,1,0,0,3,0,0,3,0,1,0,92,2.0,0.2222222222222222,2.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,8.0,7.0,0.0,0.09090909090909091,0.09090909090909091
WO김재현,62332,2018-04-20,3,10,0,0,0,0,0,0,1,0,0,1,0,0,5,0,1,0,47,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.4,0.43333333333333335,0.8333333333333334
WO김재현,62332,2018-05-14,9,25,4,8,2,0,0,10,1,0,0,3,2,0,10,0,0,0,107,2.0,0.32,3.0,5.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,8.0,9.0,0.3,0.23529411764705882,0.5352941176470588
WO김재현,62332,2018-06-07,10,30,4,5,1,0,1,9,2,0,0,1,2,0,10,1,0,1,125,2.0,0.16666666666666666,0.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,10.0,6.0,0.3448275862068966,0.30303030303030304,0.6478578892371996
WO김재현,62332,2018-07-01,10,29,2,7,0,0,1,10,3,0,0,1,2,0,10,0,2,1,114,2.0,0.2413793103448276,3.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,2.0,9.0,7.0,0.45714285714285713,0.3684210526315789,0.825563909774436
WO김재현,62332,2018-07-25,11,35,5,12,1,0,1,16,9,0,0,1,1,0,5,0,2,1,126,3.0,0.34285714285714286,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,8.0,10.0,0.36363636363636365,0.2727272727272727,0.6363636363636364
WO김재현,62332,2018-08-18,4,11,1,3,1,0,0,4,0,0,0,0,0,0,2,0,1,0,37,0.0,0.2727272727272727,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.16666666666666666,0.21052631578947367,0.3771929824561403
WO김재현,62332,2018-09-11,13,36,2,6,0,0,0,6,1,0,0,2,0,0,10,1,2,0,145,1.0,0.16666666666666666,2.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,2.0,10.0,7.0,0.125,0.2222222222222222,0.3472222222222222
WO김재현,62332,2018-10-05,9,24,2,3,0,0,0,3,2,0,0,2,1,0,8,1,2,0,105,1.0,0.125,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,0.0
가르시아,68103,2018-03-24,19,72,10,26,3,0,3,38,15,2,0,5,4,0,15,1,0,3,283,8.0,0.3611111111111111,0.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,3.0,9.0,10.0,0.0,0.0,0.0
가르시아,68103,2018-06-28,4,23,6,11,2,0,1,16,2,1,0,1,1,0,2,1,0,0,92,4.0,0.4782608695652174,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.6842105263157895,0.375,1.0592105263157894
가르시아,68103,2018-09-08,9,38,2,8,1,0,1,12,3,0,0,2,1,0,6,0,0,2,178,4.0,0.21052631578947367,0.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,8.0,4.0,0.2727272727272727,0.38461538461538464,0.6573426573426573
강경학,61700,2018-06-03,16,67,14,28,4,1,3,43,13,1,0,8,1,0,14,3,0,0,298,11.0,0.417910447761194,6.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,10.0,10.0,0.373134328358209,0.35526315789473684,0.7283974862529459
