이름,날짜,상대,결과,점수,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
정훈,04-29,한화,W,4:3,7,3B,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,8,1.51,-0.72,-0.046
정훈,05-02,KIA,L,6:12,6,1B,1,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.125,0.111,0.250,0.361,12,1.09,-0.33,-0.032
정훈,05-04,@SK,L,4:5,9,PH,0,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.300,0.273,0.800,1.073,3,0.44,1.00,0.025
정훈,05-08,@LG,W,4:2,5,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.308,0.750,1.058,6,0.49,-0.26,-0.013
정훈,05-10,@LG,W,7:2,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.313,0.667,0.979,3,0.02,-0.26,-0.001
정훈,05-13,KT,W,3:1,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.294,0.625,0.919,0,0.00,0.00,0.000
정훈,05-17,@NC,W,7:0,6,DH,1,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.273,0.261,0.545,0.806,10,0.61,0.37,0.038
정훈,05-19,두산,W,15:2,6,CF,1,4,3,3,1,0,1,7,1,0,0,1,0,0,0,0,0,0,0.333,0.345,0.704,1.049,15,0.15,1.66,0.029
정훈,05-22,@삼성,L,4:10,6,CF,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.303,0.324,0.606,0.930,19,0.70,-0.51,-0.049
정훈,05-24,@삼성,L,2:9,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.302,0.538,0.841,2,0.41,-0.25,-0.012
정훈,05-26,@넥센,L,2:3,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.268,0.289,0.512,0.801,5,2.27,-0.54,-0.063
정훈,05-30,LG,L,5:15,2,PH,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.261,0.280,0.478,0.758,8,0.00,0.15,0.000
정훈,06-01,한화,L,6:13,2,CF,1,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.268,0.442,0.710,16,0.56,-0.83,-0.024
정훈,06-03,한화,W,6:0,2,PH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.263,0.434,0.697,5,0.27,-0.32,-0.007
정훈,06-06,@NC,W,10:5,2,CF,1,5,1,2,1,0,1,6,2,0,0,0,1,0,0,0,0,0,0.258,0.294,0.484,0.778,25,0.45,1.54,0.008
정훈,06-08,KIA,W,9:6,2,CF,1,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.268,0.308,0.479,0.787,24,0.46,0.38,0.004
정훈,06-12,삼성,L,2:4,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.310,0.468,0.777,3,1.50,-0.25,-0.043
정훈,06-17,@SK,W,13:7,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.306,0.462,0.767,0,0.00,0.00,0.000
정훈,06-20,@KT,W,11:4,2,1B,1,4,2,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0.277,0.319,0.458,0.777,17,0.28,0.69,0.029
정훈,06-22,@LG,L,1:2,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.313,0.437,0.749,7,2.27,-0.34,-0.064
정훈,06-24,@LG,D,2:2,6,1B,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.247,0.294,0.409,0.703,27,1.78,-1.01,-0.181
정훈,06-28,넥센,W,8:6,2,PH,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.253,0.298,0.411,0.709,2,2.66,0.95,0.155
