NAME,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
강경학,0.5,0.1111111111111111,0.5,0.1875,0.6875,0.3333333333333333,0.2272727272727273,0.4090909090909091,0.43478260869565216,0.6,0.2272727272727273
강민호,0.13333333333333333,0.42105263157894735,0.3684210526315789,0.35,0.4736842105263158,0.3333333333333333,0.35714285714285715,0.8,0.2380952380952381,0.6,0.4090909090909091
강백호,0.44,0.7391304347826086,0.3333333333333333,0.5416666666666666,0.3636363636363637,0.5,0.5416666666666666,0.55,0.2272727272727273,0.4782608695652174,0.2631578947368421
강승호,0.39130434782608703,0.3888888888888889,0.38461538461538464,0.0,0.4761904761904762,0.35294117647058826,0.6,0.6428571428571429,0.5625,0.15789473684210525,0.3888888888888889
강한울,0.6,0.2,0.14285714285714285,0.09090909090909093,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.7692307692307693,0.21052631578947367,0.4444444444444444,0.2
고종욱,0.14285714285714285,0.4444444444444444,0.3333333333333333,0.26666666666666666,0.631578947368421,0.5555555555555556,0.5,0.2608695652173913,0.375,0.5714285714285714,0.6
구자욱,0.5833333333333334,0.6,0.5652173913043478,0.3181818181818182,0.3636363636363637,0.3181818181818182,0.7083333333333334,0.75,0.5714285714285714,0.55,0.6521739130434783
권희동,0.4583333333333333,0.6363636363636364,0.3333333333333333,0.5909090909090909,0.7083333333333334,0.4615384615384616,0.4444444444444444,0.5,0.4761904761904762,0.2608695652173913,0.2857142857142857
김강민,0.2916666666666667,0.7083333333333334,0.3809523809523809,0.6666666666666666,0.5238095238095238,0.5,0.3181818181818182,0.6875,0.25,0.3888888888888889,0.4736842105263158
김규민,0.2352941176470588,0.2857142857142857,0.2727272727272727,0.0,0.5,0.0,0.75,0.35294117647058826,0.4117647058823529,0.5789473684210527,0.4117647058823529
김동엽,0.26666666666666666,0.25,0.3333333333333333,0.25,0.14285714285714285,0.3125,0.4,0.2857142857142857,0.2222222222222222,0.5714285714285714,0.4090909090909091
김민성,0.5833333333333334,0.2380952380952381,0.2857142857142857,0.3684210526315789,0.5882352941176471,0.35,0.3636363636363637,0.2,0.6666666666666666,0.5,0.55
김민식,0.35294117647058826,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.2727272727272727,0.3636363636363637,0.5625,0.5263157894736842,0.5333333333333333,0.16666666666666666,0.2727272727272727
