NAME,PCODE,Date,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타,출루,OPS
LT김민수,67504,2021-04-24,4,16,2,3,1,0,0,4,0,0,0,1,0,0,8,0,0,0,67,1.0,0.1875,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.41935483870967744,0.3235294117647059,0.7428842504743833
LT김민수,67504,2021-05-15,8,31,2,8,2,0,1,13,5,0,0,3,0,0,11,0,1,0,136,6.0,0.25806451612903225,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,0.4117647058823529,0.34210526315789475,0.7538699690402477
LT김민수,67504,2021-06-05,17,68,9,19,4,1,1,28,9,0,0,7,0,0,12,3,0,1,295,9.0,0.27941176470588236,0.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,11.0,7.0,0.23529411764705882,0.3333333333333333,0.5686274509803921
SK김재현,76869,2018-05-15,5,14,6,3,0,0,0,3,0,2,0,2,2,0,3,0,0,0,66,0.0,0.21428571428571427,0.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.5,1.5
SK김재현,76869,2018-08-28,2,11,6,5,1,1,1,11,3,1,0,1,0,0,1,0,0,0,30,1.0,0.45454545454545453,0.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.2,0.36,0.56
SK김재현,76869,2018-09-18,5,20,3,4,0,0,0,4,0,1,0,4,1,0,8,0,0,0,98,0.0,0.2,2.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,5.0,0.21428571428571427,0.26666666666666666,0.4809523809523809
SK김재현,76869,2018-10-09,2,14,1,3,0,0,0,3,1,2,0,1,0,0,1,0,0,0,58,2.0,0.21428571428571427,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.1111111111111111,0.1111111111111111,0.2222222222222222
SS김민수,64793,2021-04-24,6,19,4,7,4,0,2,17,4,0,0,2,0,0,0,2,0,0,77,4.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,2.0,0.17647058823529413,0.2631578947368421,0.4396284829721362
SS김민수,64793,2021-05-15,3,17,2,3,0,0,0,3,0,0,0,2,0,0,3,0,1,0,77,1.0,0.17647058823529413,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,4.0,0.0,0.125,0.125
SS김민수,64793,2021-08-07,3,11,1,3,1,0,0,4,5,0,0,0,0,0,2,0,0,1,48,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
WO김재현,62332,2018-03-27,5,16,2,3,1,0,0,4,1,0,0,2,0,0,3,0,1,0,77,1.0,0.1875,2.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,7.0,7.0,0.2,0.18181818181818182,0.38181818181818183
WO김재현,62332,2018-04-17,3,10,1,1,1,0,0,2,1,0,0,1,0,0,4,0,1,0,49,1.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,6.0,0.3125,0.4,0.7125
WO김재현,62332,2018-05-08,7,16,1,4,1,0,0,5,0,0,0,3,1,0,7,0,0,0,78,2.0,0.25,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,7.0,3.0,0.3333333333333333,0.2962962962962963,0.6296296296296295
WO김재현,62332,2018-05-29,8,24,3,6,2,0,0,8,2,0,0,1,1,0,8,0,0,1,94,2.0,0.25,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,9.0,8.0,0.3793103448275862,0.2727272727272727,0.6520376175548589
WO김재현,62332,2018-06-19,9,29,5,5,0,0,2,11,2,0,0,1,3,0,12,1,2,0,123,2.0,0.1724137931034483,0.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,8.0,5.0,0.22727272727272727,0.28,0.5072727272727273
WO김재현,62332,2018-07-10,9,22,1,5,0,0,0,5,3,0,0,1,1,0,5,0,1,1,84,1.0,0.22727272727272727,3.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,8.0,6.0,0.5333333333333333,0.42424242424242425,0.9575757575757575
WO김재현,62332,2018-07-31,8,30,5,12,1,0,1,16,8,0,0,1,1,0,4,0,1,1,106,3.0,0.4,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,10.0,0.36363636363636365,0.2727272727272727,0.6363636363636364
WO김재현,62332,2018-08-21,4,11,1,3,1,0,0,4,0,0,0,0,0,0,2,0,1,0,37,0.0,0.2727272727272727,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.16666666666666666,0.21052631578947367,0.3771929824561403
WO김재현,62332,2018-09-11,13,36,2,6,0,0,0,6,1,0,0,2,0,0,10,1,2,0,145,1.0,0.16666666666666666,2.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,2.0,10.0,7.0,0.16666666666666666,0.2857142857142857,0.45238095238095233
WO김재현,62332,2018-10-02,6,18,2,3,0,0,0,3,1,0,0,2,1,0,7,0,1,0,86,1.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0
가르시아,68103,2018-03-24,17,64,10,23,2,0,3,34,14,2,0,5,4,0,12,1,0,2,253,5.0,0.359375,0.0,3.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,3.0,7.0,10.0,0.6136363636363636,0.43478260869565216,1.0484189723320159
가르시아,68103,2018-07-07,9,44,8,18,3,0,2,27,8,1,0,1,1,0,3,2,0,0,167,7.0,0.4090909090909091,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,8.0,3.0,0.22580645161290322,0.21212121212121213,0.43792766373411535
가르시아,68103,2018-09-08,7,31,1,6,1,0,0,7,1,0,0,1,0,0,6,0,0,1,148,3.0,0.1935483870967742,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,8.0,2.0,0.4444444444444444,0.391304347826087,0.8357487922705313
강경학,61700,2018-06-03,14,60,13,27,4,0,3,40,12,1,0,6,1,0,12,3,0,0,261,8.0,0.45,6.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0,9.0,9.0,0.32727272727272727,0.3230769230769231,0.6503496503496504
강경학,61700,2018-06-24,15,55,10,11,2,1,1,18,5,2,0,9,1,0,11,1,1,0,273,9.0,0.2,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,8.0,7.0,0.359375,0.3918918918918919,0.7512668918918919
강경학,61700,2018-07-15,16,64,7,20,3,0,0,23,5,2,2,9,0,0,15,1,0,1,322,1.0,0.3125,0.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,7.0,9.0,0.05555555555555555,0.2608695652173913,0.3164251207729468
강경학,61700,2018-08-05,4,18,3,1,0,0,0,1,2,0,0,4,1,0,6,1,0,0,110,0.0,0.05555555555555555,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.25,0.375,0.625
강경학,61700,2018-08-26,8,24,4,4,2,0,0,6,1,1,1,8,0,0,9,0,0,0,148,2.0,0.16666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,6.0,0.3333333333333333,0.2916666666666667,0.625
강경학,61700,2018-09-16,5,21,4,4,0,0,1,7,2,0,0,2,1,0,4,1,0,0,101,2.0,0.19047619047619047,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,4.0,0.6,0.4,1.0
강경학,61700,2019-06-09,14,50,9,10,1,0,0,11,4,0,0,7,2,0,12,1,2,1,265,6.0,0.2,1.0,0.0,0.0,4.0,3.0,0.0,2.0,3.0,2.0,0.0,10.0,5.0,0.2916666666666667,0.25,0.5416666666666667
강경학,61700,2019-06-30,5,24,3,6,1,0,0,7,2,0,0,0,0,0,6,0,1,0,78,1.0,0.25,2.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,9.0,4.0,0.3076923076923077,0.375,0.6826923076923077
강경학,61700,2019-07-21,3,13,4,3,1,0,0,4,4,0,0,3,0,0,3,2,0,0,73,0.0,0.23076923076923078,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0
강경학,61700,2019-09-01,4,22,4,8,1,0,0,9,2,1,2,5,1,0,9,0,0,0,125,1.0,0.36363636363636365,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0
