,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t1,김혜성,2021,2,0,0,0,0,3,0,0,4,0,12,2,61,5,5,0.3333333333333333,0.16666666666666666
t2,김혜성,2021,7,0,0,0,0,2,1,0,3,0,22,1,94,5,5,0.4,0.3181818181818182
t3,김혜성,2021,5,1,0,0,0,4,0,0,2,0,16,0,79,6,5,0.5,0.4375
t5,김혜성,2021,3,0,0,0,0,2,0,0,3,0,20,2,77,5,5,0.22727272727272727,0.15
t6,김혜성,2021,10,0,0,0,0,3,0,0,3,0,21,2,94,5,5,0.5416666666666666,0.47619047619047616
t7,김혜성,2021,7,1,1,0,0,3,0,1,5,0,21,1,104,5,5,0.5,0.5714285714285714
t8,김혜성,2021,9,1,0,0,0,0,0,0,3,0,21,2,78,4,5,0.47619047619047616,0.5238095238095238
t9,김혜성,2021,3,0,0,0,0,0,0,0,5,0,19,0,74,4,5,0.15789473684210525,0.15789473684210525
t10,김혜성,2021,6,1,0,0,0,3,0,0,5,0,22,1,101,5,5,0.4,0.36363636363636365
t11,김혜성,2021,7,0,0,0,0,2,0,0,2,0,20,1,93,5,5,0.4090909090909091,0.35
t12,김혜성,2021,8,0,0,0,0,1,0,0,3,0,23,3,108,6,5,0.375,0.34782608695652173
t13,김혜성,2021,6,1,1,1,0,1,0,0,1,0,19,1,84,5,5,0.5,0.7894736842105263
t14,김혜성,2021,4,0,0,0,0,5,0,1,5,0,19,2,120,4,5,0.375,0.21052631578947367
t15,김혜성,2021,10,1,0,1,0,5,0,0,1,0,19,3,111,7,5,0.7083333333333334,0.8421052631578947
t16,김혜성,2021,3,1,0,0,0,1,0,1,4,0,20,1,79,5,5,0.23809523809523808,0.25
t17,김혜성,2021,6,1,0,1,0,2,0,0,6,0,21,3,103,4,5,0.43478260869565216,0.5714285714285714
t18,김혜성,2021,2,0,0,0,0,2,0,0,6,0,17,1,86,4,5,0.21052631578947367,0.11764705882352941
t19,김혜성,2021,5,2,0,0,0,5,0,0,2,0,19,4,97,5,5,0.5,0.47368421052631576
t1,피렐라,2021,7,2,0,1,0,3,1,0,1,0,19,0,70,5,5,0.6086956521739131,0.7894736842105263
t2,피렐라,2021,3,0,0,0,0,0,0,1,4,0,22,0,72,5,5,0.13636363636363635,0.13636363636363635
t3,피렐라,2021,4,1,0,1,0,4,0,0,5,0,19,0,86,5,5,0.43478260869565216,0.5263157894736842
t4,피렐라,2021,4,0,1,1,0,3,0,0,4,0,19,1,98,34,5,0.4090909090909091,0.5789473684210527
