,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t1,김재현,2018,1,0,0,0,0,0,0,0,3,0,7,0,24,8,5,0.14285714285714285,0.14285714285714285
t2,김재현,2018,0,0,0,0,0,0,0,0,1,1,6,1,16,5,5,0.0,0.0
t3,김재현,2018,1,0,0,0,0,1,0,1,1,2,8,0,34,7,5,0.18181818181818182,0.125
t4,김재현,2018,2,0,0,0,0,1,0,0,6,0,15,0,66,7,5,0.1875,0.13333333333333333
t5,김재현,2018,3,0,0,0,1,2,0,0,4,0,15,3,74,5,5,0.3333333333333333,0.2
t6,김재현,2018,2,0,0,0,0,1,0,0,4,0,9,0,45,6,5,0.3,0.2222222222222222
t7,김재현,2018,3,0,0,0,0,1,0,0,2,0,10,0,42,3,5,0.36363636363636365,0.3
t8,김재현,2018,0,0,0,0,1,1,0,0,1,0,3,0,19,3,5,0.4,0.0
t9,김재현,2018,3,0,0,0,0,0,0,0,3,0,12,0,37,2,5,0.25,0.25
t10,김재현,2018,1,0,0,0,0,1,0,0,5,1,12,0,56,3,5,0.14285714285714285,0.08333333333333333
t11,김재현,2018,5,1,0,1,0,2,0,1,0,1,12,1,42,2,5,0.6,0.9166666666666666
t12,김재현,2018,1,1,0,0,0,0,0,0,1,1,7,0,22,3,5,0.25,0.42857142857142855
t13,김재현,2018,0,0,0,0,0,0,0,0,1,0,2,0,6,3,5,0.0,0.0
t14,김재현,2018,5,0,1,0,0,0,0,0,3,1,13,0,42,21,5,0.42857142857142855,0.6153846153846154
t15,김재현,2018,3,0,0,0,0,1,0,0,2,0,13,0,48,5,5,0.2857142857142857,0.23076923076923078
t16,김재현,2018,7,1,0,1,1,0,0,0,1,0,11,0,39,6,5,0.8333333333333334,1.1818181818181819
t17,김재현,2018,0,0,0,0,0,0,0,0,1,1,6,0,22,5,5,0.0,0.0
t18,김재현,2018,4,0,0,0,0,1,0,0,2,0,10,0,35,6,5,0.45454545454545453,0.4
t19,김재현,2018,1,0,0,0,1,0,0,0,2,0,7,0,29,8,5,0.25,0.14285714285714285
t20,김재현,2018,0,0,0,0,1,0,0,0,4,2,5,0,26,5,5,0.125,0.0
t21,김재현,2018,5,0,0,2,0,1,0,0,6,0,19,0,70,10,5,0.4,0.6842105263157895
t22,김재현,2018,0,0,0,0,0,0,0,1,0,0,1,1,1,2,5,0.0,0.0
t23,김재현,2018,1,0,0,0,2,1,0,0,4,0,7,0,50,3,5,0.4,0.14285714285714285
t24,김재현,2018,3,1,0,0,0,0,0,0,2,0,7,0,26,2,5,0.5714285714285714,0.7142857142857143
t25,김재현,2018,1,0,0,0,0,0,0,0,0,0,5,0,17,4,5,0.2,0.2
t26,김재현,2018,0,0,0,0,0,0,0,0,4,0,6,0,24,2,5,0.0,0.0
t27,김재현,2018,2,1,0,0,0,0,0,0,2,0,4,0,15,3,5,0.75,1.0
t28,김재현,2018,0,0,0,0,1,0,0,0,1,0,3,0,13,2,5,0.25,0.0
t29,김재현,2018,2,0,0,0,0,3,0,0,3,0,8,0,41,4,5,0.45454545454545453,0.25
t30,김재현,2018,1,0,0,0,0,1,0,0,1,0,4,0,21,2,5,0.4,0.25
t31,김재현,2018,2,0,0,0,1,0,0,0,2,0,7,1,30,2,5,0.375,0.2857142857142857
t32,김재현,2018,3,0,0,0,2,0,0,0,2,0,10,1,36,5,5,0.4166666666666667,0.3
t33,김재현,2018,1,1,0,0,0,2,0,0,3,0,5,0,30,11,5,0.5714285714285714,0.6
t34,김재현,2018,0,0,0,0,0,0,0,0,3,1,7,0,30,9,5,0.0,0.0
t35,김재현,2018,1,1,0,0,0,2,0,0,2,0,5,0,35,13,5,0.5714285714285714,0.6
t36,김재현,2018,1,0,0,0,0,1,0,0,1,1,10,0,42,6,5,0.16666666666666666,0.1
t37,김재현,2018,1,0,0,0,0,0,0,0,1,0,3,0,15,5,5,0.3333333333333333,0.3333333333333333
t1,로맥,2018,3,0,0,2,0,2,0,0,7,0,20,0,85,7,5,0.3181818181818182,0.55
t2,로맥,2018,3,0,0,2,1,1,0,1,4,0,20,0,80,7,5,0.3181818181818182,0.55
t3,로맥,2018,8,1,0,3,0,2,0,0,4,0,22,0,96,18,5,0.5833333333333334,1.0
t4,로맥,2018,2,0,0,0,0,7,0,0,2,0,15,1,105,6,5,0.4090909090909091,0.13333333333333333
t5,로맥,2018,10,0,0,0,1,4,0,0,1,0,16,0,75,4,5,0.7142857142857143,0.625
t6,로맥,2018,7,1,0,2,2,1,0,0,3,0,19,0,85,4,5,0.5909090909090909,0.8947368421052632
t7,로맥,2018,2,1,0,1,0,2,0,0,6,0,21,0,97,5,5,0.2608695652173913,0.38095238095238093
t8,로맥,2018,5,1,0,0,1,1,0,1,4,0,20,0,78,5,5,0.36363636363636365,0.35
t9,로맥,2018,4,0,0,0,1,1,0,0,4,0,20,1,92,22,5,0.2727272727272727,0.2
t10,로맥,2018,3,0,0,2,1,1,0,0,3,0,18,0,66,5,5,0.35,0.6111111111111112
t11,로맥,2018,6,1,0,0,0,3,0,0,4,0,19,0,108,6,5,0.45454545454545453,0.42105263157894735
t12,로맥,2018,8,1,0,4,0,4,0,0,4,0,17,0,95,5,5,0.8095238095238095,1.5294117647058822
t13,로맥,2018,7,0,0,2,0,4,0,1,3,0,16,1,102,5,5,0.65,0.9375
t14,로맥,2018,7,2,0,1,0,2,0,1,3,0,17,1,92,9,5,0.631578947368421,0.8823529411764706
t15,로맥,2018,7,0,0,1,0,2,0,0,4,0,19,2,82,5,5,0.47619047619047616,0.5789473684210527
t16,로맥,2018,5,0,0,3,0,2,0,1,5,0,22,0,95,7,5,0.4166666666666667,0.7727272727272727
t17,로맥,2018,5,1,0,1,0,2,0,0,7,0,22,2,88,4,5,0.375,0.5
t18,로맥,2018,4,0,0,2,1,0,0,0,2,0,19,0,72,6,5,0.35,0.631578947368421
t19,로맥,2018,5,1,0,1,0,1,0,0,3,0,21,0,72,5,5,0.36363636363636365,0.5238095238095238
t20,로맥,2018,4,0,0,1,0,1,0,1,8,0,21,0,82,5,5,0.2727272727272727,0.38095238095238093
t21,로맥,2018,5,0,0,3,0,5,0,0,5,0,14,0,82,6,5,0.6842105263157895,1.2142857142857142
t22,로맥,2018,6,1,0,3,0,4,0,1,3,0,16,0,86,5,5,0.7,1.25
t23,로맥,2018,7,1,0,0,0,3,0,1,3,0,19,0,100,7,5,0.5,0.47368421052631576
t24,로맥,2018,8,2,0,1,1,0,0,0,3,0,21,0,82,6,5,0.5454545454545454,0.7619047619047619
t25,로맥,2018,7,0,0,1,1,2,0,0,7,0,20,0,81,5,5,0.4782608695652174,0.55
t26,로맥,2018,3,1,0,0,0,2,0,0,3,0,17,0,73,6,5,0.3157894736842105,0.29411764705882354
t27,로맥,2018,9,1,0,4,0,5,0,0,8,0,18,0,104,5,5,0.8260869565217391,1.5
t28,로맥,2018,7,2,0,1,0,3,0,0,6,0,17,1,85,4,5,0.65,0.8823529411764706
t29,로맥,2018,7,1,0,3,1,3,0,0,9,0,21,1,98,7,5,0.6,1.0
t30,로맥,2018,9,0,0,3,0,4,0,0,3,0,18,0,92,4,5,0.7272727272727273,1.1666666666666667
t1,한유섬,2018,3,0,0,1,0,4,0,0,8,1,18,0,85,7,5,0.34782608695652173,0.3888888888888889
t2,한유섬,2018,4,0,0,3,1,3,0,0,5,0,19,0,109,7,5,0.4782608695652174,0.8421052631578947
t3,한유섬,2018,3,0,0,1,3,2,0,1,4,0,15,0,104,18,5,0.45,0.4666666666666667
t4,한유섬,2018,5,1,0,1,1,1,0,0,8,0,21,0,109,6,5,0.391304347826087,0.5238095238095238
t5,한유섬,2018,8,2,0,3,0,1,0,0,6,0,20,0,88,4,5,0.6666666666666666,1.2
t6,한유섬,2018,6,1,0,4,0,1,0,0,5,0,18,0,88,4,5,0.631578947368421,1.3333333333333333
t7,한유섬,2018,5,1,0,1,0,1,0,0,7,0,19,0,88,5,5,0.4,0.5789473684210527
t8,한유섬,2018,6,0,0,2,0,1,0,1,3,0,21,0,90,5,5,0.4090909090909091,0.6666666666666666
t9,한유섬,2018,6,0,0,1,3,0,0,1,2,0,16,1,87,22,5,0.5263157894736842,0.625
t10,한유섬,2018,5,2,0,1,0,2,0,0,5,0,16,0,83,5,5,0.5555555555555556,0.8125
t11,한유섬,2018,6,1,0,0,1,2,0,0,2,0,18,0,92,6,5,0.47619047619047616,0.4444444444444444
t12,한유섬,2018,3,1,0,2,1,1,0,0,6,0,18,0,99,5,5,0.4,0.7222222222222222
t13,한유섬,2018,9,3,0,2,0,2,1,0,4,0,19,0,93,6,5,0.7727272727272727,1.2105263157894737
t14,한유섬,2018,5,0,0,1,0,1,0,0,0,0,18,0,68,8,5,0.3684210526315789,0.5
t15,한유섬,2018,5,3,0,0,0,0,0,0,5,0,14,0,61,5,5,0.5714285714285714,0.7857142857142857
t16,한유섬,2018,8,3,0,1,0,4,0,1,3,0,16,0,96,10,5,0.8,1.125
t17,한유섬,2018,5,0,0,5,2,3,0,0,5,0,18,0,99,4,5,0.6521739130434783,1.3888888888888888
t18,한유섬,2018,4,1,0,1,0,1,0,0,6,0,17,0,81,5,5,0.3888888888888889,0.5882352941176471
t19,한유섬,2018,1,0,0,0,3,4,0,0,7,0,15,0,90,4,5,0.36363636363636365,0.06666666666666667
t20,한유섬,2018,8,4,0,2,0,0,0,0,7,0,21,1,72,5,5,0.6666666666666666,1.1428571428571428
t21,한유섬,2018,4,1,0,1,1,3,0,2,6,0,19,0,104,6,5,0.43478260869565216,0.5263157894736842
t22,한유섬,2018,6,0,0,4,0,1,0,3,2,0,19,0,73,7,5,0.55,1.1578947368421053
t23,한유섬,2018,4,1,0,0,1,2,0,0,4,0,22,0,94,6,5,0.32,0.2727272727272727
t24,한유섬,2018,0,0,0,0,0,1,0,0,5,0,17,0,78,6,5,0.05555555555555555,0.0
t25,한유섬,2018,4,0,0,3,0,3,0,0,6,0,17,0,70,5,5,0.5,0.9411764705882353
t26,한유섬,2018,5,2,0,1,0,5,0,0,3,0,17,1,104,5,5,0.5909090909090909,0.7647058823529411
t27,한유섬,2018,8,2,0,1,0,2,1,1,5,0,21,1,87,7,5,0.5833333333333334,0.7619047619047619
t28,한유섬,2018,1,0,0,1,0,4,1,1,3,0,13,0,71,7,5,0.3888888888888889,0.38461538461538464
t29,한유섬,2018,5,1,0,1,0,3,0,0,6,0,19,0,98,4,5,0.45454545454545453,0.5789473684210527
t1,호잉,2018,7,1,1,1,0,2,0,1,5,0,21,0,97,10,5,0.5217391304347826,0.7619047619047619
t2,호잉,2018,2,1,0,0,0,2,0,0,5,0,19,0,85,7,5,0.23809523809523808,0.21052631578947367
t3,호잉,2018,5,1,0,1,0,4,1,0,4,0,16,1,81,4,5,0.5714285714285714,0.6875
t4,호잉,2018,4,0,0,0,0,1,0,0,3,0,20,2,90,5,5,0.23809523809523808,0.2
t5,호잉,2018,5,3,0,1,0,1,0,0,2,0,19,0,75,5,5,0.5,0.7894736842105263
t6,호잉,2018,4,0,0,2,1,0,0,0,5,0,22,0,87,5,5,0.30434782608695654,0.5454545454545454
t7,호잉,2018,8,4,0,0,1,1,0,0,5,0,20,1,88,22,5,0.6363636363636364,0.8
t8,호잉,2018,5,1,0,1,0,3,1,0,1,0,17,3,75,5,5,0.5238095238095238,0.6470588235294118
t9,호잉,2018,6,2,0,2,1,4,1,0,2,0,19,0,94,6,5,0.64,0.9473684210526315
t10,호잉,2018,4,0,0,1,0,2,1,0,1,0,10,1,34,5,5,0.6153846153846154,0.8
t11,호잉,2018,6,3,0,1,0,0,0,1,3,0,20,0,70,5,5,0.5,0.8
t12,호잉,2018,9,3,0,0,0,3,2,0,3,0,20,2,100,8,5,0.68,0.75
t13,호잉,2018,4,1,0,0,0,1,0,0,2,0,16,1,65,5,5,0.35294117647058826,0.375
t14,호잉,2018,3,2,0,0,0,1,0,0,6,0,20,0,77,6,5,0.2857142857142857,0.35
t15,호잉,2018,6,1,0,4,0,0,0,0,1,0,20,0,75,5,5,0.55,1.2
t16,호잉,2018,6,2,0,0,0,2,0,0,4,0,20,0,96,5,5,0.45454545454545453,0.5
t17,호잉,2018,9,5,0,2,0,1,0,1,5,0,21,1,85,4,5,0.7727272727272727,1.2857142857142858
t18,호잉,2018,8,1,0,0,0,1,0,0,7,0,21,3,91,4,5,0.45454545454545453,0.47619047619047616
t19,호잉,2018,3,1,0,1,0,2,2,0,6,0,17,0,78,5,5,0.42857142857142855,0.5294117647058824
t20,호잉,2018,7,2,1,0,0,0,0,0,1,0,21,1,85,5,5,0.47619047619047616,0.6666666666666666
t21,호잉,2018,7,1,0,2,1,1,0,0,1,0,18,0,77,6,5,0.6,0.9444444444444444
t22,호잉,2018,5,1,0,0,0,3,1,0,3,0,18,1,76,6,5,0.45454545454545453,0.3888888888888889
t23,호잉,2018,6,4,0,1,1,1,0,0,2,0,19,0,83,6,5,0.6190476190476191,0.9473684210526315
t24,호잉,2018,4,2,0,2,0,4,0,1,3,0,16,1,84,5,5,0.6,1.0
t25,호잉,2018,5,1,0,1,0,2,0,0,4,0,17,1,73,6,5,0.47368421052631576,0.6470588235294118
t26,호잉,2018,7,1,0,2,0,2,0,0,4,0,20,0,83,5,5,0.5454545454545454,0.85
t27,호잉,2018,8,1,0,3,0,2,0,0,2,0,20,0,91,4,5,0.6363636363636364,1.1
t28,호잉,2018,4,1,0,2,0,6,1,2,6,0,17,1,88,7,5,0.5833333333333334,0.8235294117647058
t29,호잉,2018,8,2,0,1,0,0,0,0,1,0,18,2,70,5,5,0.6111111111111112,0.8888888888888888
t1,김성현,2018,4,1,0,0,0,4,0,0,0,2,14,0,73,7,5,0.45,0.42857142857142855
t2,김성현,2018,4,2,0,0,1,2,0,0,2,1,14,0,62,7,5,0.5,0.5714285714285714
t3,김성현,2018,8,1,0,1,0,1,0,0,0,1,18,1,70,21,5,0.55,0.7777777777777778
t4,김성현,2018,5,0,0,0,0,0,0,0,4,1,18,0,63,7,5,0.2631578947368421,0.2777777777777778
t5,김성현,2018,2,1,0,0,1,1,0,0,2,0,12,1,58,5,5,0.35714285714285715,0.3333333333333333
t6,김성현,2018,3,0,0,1,0,0,0,0,2,1,16,1,62,4,5,0.23529411764705882,0.4375
t7,김성현,2018,3,2,0,0,0,2,0,1,1,1,16,0,70,4,5,0.3684210526315789,0.4375
t8,김성현,2018,2,1,0,0,0,0,0,1,2,0,10,0,36,5,5,0.3,0.4
t9,김성현,2018,7,0,0,0,1,1,0,0,1,0,15,0,57,24,5,0.5294117647058824,0.4666666666666667
t10,김성현,2018,6,2,0,2,0,1,0,1,1,0,18,0,59,4,5,0.5789473684210527,1.0
t11,김성현,2018,4,0,0,0,0,1,0,1,2,0,20,1,73,5,5,0.23809523809523808,0.2
t12,김성현,2018,3,0,0,0,0,2,0,0,3,1,13,0,52,4,5,0.3125,0.23076923076923078
t13,김성현,2018,3,0,1,0,0,1,0,0,0,0,16,1,69,5,5,0.29411764705882354,0.375
t14,김성현,2018,5,0,0,0,1,3,0,1,2,0,16,0,78,8,5,0.45,0.3125
t15,김성현,2018,2,0,0,0,1,3,0,2,3,0,15,0,74,5,5,0.3157894736842105,0.13333333333333333
t16,김성현,2018,3,1,0,0,0,3,0,1,2,0,14,0,68,7,5,0.4117647058823529,0.35714285714285715
t17,김성현,2018,2,0,0,0,1,0,0,0,0,0,19,0,72,5,5,0.15,0.10526315789473684
t18,김성현,2018,6,1,0,0,0,2,0,0,1,1,17,0,75,4,5,0.45,0.47058823529411764
t19,김성현,2018,3,0,0,0,0,0,0,1,1,0,14,0,41,4,5,0.21428571428571427,0.21428571428571427
t20,김성현,2018,3,1,0,0,2,1,0,2,4,1,16,0,55,5,5,0.35,0.3125
t21,김성현,2018,8,1,0,0,0,2,0,2,2,0,19,0,79,6,5,0.5238095238095238,0.5263157894736842
t22,김성현,2018,7,2,0,0,0,0,0,0,1,0,18,0,56,5,5,0.5,0.6111111111111112
t23,김성현,2018,6,1,0,0,0,1,0,0,0,0,21,0,78,6,5,0.36363636363636365,0.38095238095238093
t24,김성현,2018,5,1,0,0,0,0,0,0,3,0,16,0,60,6,5,0.375,0.4375
t25,김성현,2018,3,0,0,0,0,0,0,1,2,0,13,0,49,5,5,0.23076923076923078,0.23076923076923078
t26,김성현,2018,9,3,0,0,1,3,0,1,1,0,13,1,58,5,5,0.9411764705882353,1.1538461538461537
t27,김성현,2018,4,1,0,0,0,0,0,0,0,0,13,0,42,5,5,0.38461538461538464,0.46153846153846156
t28,김성현,2018,2,0,0,0,1,0,0,1,0,0,7,0,28,9,5,0.375,0.2857142857142857
t29,김성현,2018,1,0,0,1,0,1,0,3,1,0,11,0,37,6,5,0.25,0.45454545454545453
t1,하주석,2018,7,2,0,0,0,0,0,0,5,0,22,2,89,10,5,0.4090909090909091,0.5
t2,하주석,2018,4,0,0,0,0,0,0,0,5,0,19,0,66,7,5,0.21052631578947367,0.21052631578947367
t3,하주석,2018,6,0,0,1,0,2,0,0,7,0,19,3,80,4,5,0.42857142857142855,0.5263157894736842
t4,하주석,2018,6,1,0,0,0,0,0,1,4,0,17,0,51,5,5,0.4117647058823529,0.47058823529411764
t5,하주석,2018,5,2,0,1,0,3,0,0,5,0,17,0,78,5,5,0.55,0.7647058823529411
t6,하주석,2018,3,0,0,0,0,2,0,0,5,0,17,1,65,5,5,0.2631578947368421,0.17647058823529413
t7,하주석,2018,4,2,0,0,0,2,0,1,5,0,18,0,78,22,5,0.4,0.4444444444444444
t8,하주석,2018,8,3,1,1,0,0,0,0,4,0,19,1,57,5,5,0.6842105263157895,1.105263157894737
t9,하주석,2018,9,1,0,0,0,1,0,0,1,0,17,0,72,6,5,0.6111111111111112,0.6470588235294118
t10,하주석,2018,4,1,1,0,0,2,0,1,4,0,18,0,75,5,5,0.4,0.5
t11,하주석,2018,3,0,0,0,0,1,0,0,3,0,17,0,56,5,5,0.2222222222222222,0.17647058823529413
t12,하주석,2018,4,0,0,0,1,1,0,0,7,0,18,2,83,8,5,0.3,0.2222222222222222
t13,하주석,2018,6,3,0,0,0,0,0,0,2,0,15,0,52,5,5,0.6,0.8
t14,하주석,2018,1,0,0,0,0,0,0,1,6,0,14,0,52,6,5,0.07142857142857142,0.07142857142857142
t15,하주석,2018,2,0,0,0,0,1,0,0,4,0,17,1,79,5,5,0.16666666666666666,0.11764705882352941
t16,하주석,2018,5,1,0,1,0,3,0,0,1,0,14,1,58,5,5,0.5882352941176471,0.7857142857142857
t17,하주석,2018,2,0,0,0,0,1,0,0,4,0,12,1,51,6,5,0.23076923076923078,0.16666666666666666
t18,하주석,2018,2,0,0,0,0,0,0,0,4,0,10,0,26,4,5,0.2,0.2
t19,하주석,2018,4,0,0,0,0,1,0,2,5,0,16,2,60,4,5,0.29411764705882354,0.25
t20,하주석,2018,1,0,0,0,1,1,0,0,5,0,14,0,60,5,5,0.1875,0.07142857142857142
t21,하주석,2018,5,1,0,1,0,0,0,0,3,0,20,0,76,5,5,0.35,0.55
t22,하주석,2018,3,0,0,0,0,1,0,0,3,1,18,0,70,6,5,0.2,0.16666666666666666
t23,하주석,2018,10,2,0,1,0,2,0,0,3,0,19,1,63,6,5,0.7142857142857143,0.9473684210526315
t24,하주석,2018,1,0,0,0,0,2,0,0,9,0,15,0,74,5,5,0.17647058823529413,0.06666666666666667
t25,하주석,2018,6,0,0,2,0,0,0,0,6,0,21,0,80,6,5,0.38095238095238093,0.6666666666666666
t26,하주석,2018,4,1,0,0,0,0,0,0,9,0,20,0,93,7,5,0.25,0.3
t27,하주석,2018,3,1,0,0,1,0,0,1,8,0,20,1,80,5,5,0.23809523809523808,0.25
t28,하주석,2018,4,0,1,0,1,1,0,0,4,0,18,0,77,5,5,0.35,0.3888888888888889
