,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t2,김재현,2018,7,0,0,0,1,4,0,0,14,0,39,3,185,19,15,0.2727272727272727,0.1794871794871795
t3,김재현,2018,6,0,0,0,1,2,0,0,6,0,25,0,98,9,15,0.32142857142857145,0.24
t4,김재현,2018,7,2,0,1,0,3,0,1,6,3,31,1,120,10,15,0.35135135135135137,0.4838709677419355
t5,김재현,2018,8,0,1,0,0,1,0,0,6,1,28,0,96,31,15,0.3333333333333333,0.39285714285714285
t6,김재현,2018,11,1,0,1,1,1,0,0,4,1,27,0,96,19,15,0.5,0.6296296296296297
t7,김재현,2018,6,0,0,2,2,1,0,0,12,2,31,0,125,25,15,0.3055555555555556,0.45161290322580644
t8,김재현,2018,4,1,0,0,2,1,0,1,6,0,15,1,77,9,15,0.4444444444444444,0.4
t9,김재현,2018,3,1,0,0,0,0,0,0,6,0,15,0,56,11,15,0.26666666666666666,0.3333333333333333
t10,김재현,2018,3,0,0,0,1,4,0,0,5,0,15,0,75,8,15,0.4,0.2
t11,김재현,2018,6,1,0,0,3,2,0,0,7,0,22,2,96,19,15,0.4444444444444444,0.36363636363636365
t12,김재현,2018,2,1,0,0,0,3,0,0,6,2,22,0,107,30,15,0.2222222222222222,0.18181818181818182
t2,로맥,2018,19,1,0,2,3,12,0,0,6,0,50,1,265,17,15,0.5692307692307692,0.58
t3,로맥,2018,11,2,0,1,2,4,0,1,14,0,61,1,267,34,15,0.29850746268656714,0.3114754098360656
t4,로맥,2018,17,2,0,6,1,8,0,0,11,0,54,0,269,18,15,0.5396825396825397,0.8333333333333334
t5,로맥,2018,21,2,0,4,0,8,0,2,10,0,52,4,276,21,15,0.5833333333333334,0.7884615384615384
t6,로맥,2018,14,1,0,6,1,4,0,1,14,0,63,2,255,21,15,0.38235294117647056,0.6349206349206349
t7,로맥,2018,14,1,0,5,0,7,0,1,16,0,56,0,236,18,15,0.42857142857142855,0.6428571428571429
t8,로맥,2018,21,4,0,4,1,7,0,2,9,0,56,0,268,20,15,0.578125,0.8035714285714286
t9,로맥,2018,19,2,0,5,1,9,0,0,18,0,55,0,258,18,15,0.5538461538461539,0.7818181818181819
t10,로맥,2018,23,3,0,7,1,10,0,0,18,0,56,2,275,18,15,0.6567164179104478,1.0178571428571428
t2,한유섬,2018,19,4,0,8,1,3,0,0,19,0,59,0,285,17,15,0.5555555555555556,1.0
t3,한유섬,2018,17,1,0,4,3,2,0,2,12,0,56,1,265,34,15,0.4426229508196721,0.625
t4,한유섬,2018,14,4,0,3,2,5,0,0,13,0,52,0,274,18,15,0.4745762711864407,0.6538461538461539
t5,한유섬,2018,19,6,0,3,0,3,1,0,9,0,51,0,222,21,15,0.5818181818181818,0.8431372549019608
t6,한유섬,2018,17,4,0,7,2,8,0,1,14,0,51,0,276,22,15,0.6229508196721312,1.0392156862745099
t7,한유섬,2018,13,5,0,3,4,7,0,2,20,0,55,1,266,17,15,0.48484848484848486,0.6363636363636364
t8,한유섬,2018,10,1,0,4,1,4,0,3,11,0,58,0,245,21,15,0.31746031746031744,0.4827586206896552
t9,한유섬,2018,17,4,0,5,0,10,1,1,14,0,55,2,261,19,15,0.5606060606060606,0.8181818181818182
t2,호잉,2018,13,3,0,3,1,2,0,0,10,0,61,2,252,17,15,0.34375,0.5081967213114754
t3,호잉,2018,19,7,0,3,2,8,2,0,8,0,56,4,257,36,15,0.6029411764705882,0.8035714285714286
