Index_ts,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,num_game,on_base,slg
t1,피렐라,2021,20,3,0,4,1,5,0,2,13,0,85,1,352,20,0.3626373626373626,0.49411764705882355
t2,피렐라,2021,30,4,0,4,2,9,1,0,11,0,80,3,336,20,0.5434782608695652,0.675
t3,피렐라,2021,21,1,1,6,0,12,1,1,13,0,74,1,321,20,0.4827586206896552,0.6756756756756757
t4,피렐라,2021,23,5,0,4,1,10,0,0,14,0,83,2,380,20,0.4574468085106383,0.5903614457831325
t5,피렐라,2021,25,4,1,5,1,3,0,1,8,0,78,2,316,19,0.47560975609756095,0.717948717948718
t1,김혜성,2021,30,3,0,0,0,12,1,1,16,0,75,5,347,20,0.5227272727272727,0.48
t2,김혜성,2021,22,2,1,1,0,9,0,1,14,0,83,8,400,20,0.3804347826086957,0.39759036144578314
t3,김혜성,2021,17,3,0,0,0,9,1,0,15,0,77,8,337,20,0.3448275862068966,0.2987012987012987
t4,김혜성,2021,26,2,1,0,0,9,0,0,12,0,81,4,380,20,0.4222222222222222,0.4074074074074074
t5,김혜성,2021,18,2,0,2,0,11,1,1,14,0,71,7,343,19,0.40963855421686746,0.4225352112676056
t1,정은원,2021,17,1,0,1,0,15,0,3,15,0,67,2,389,20,0.4146341463414634,0.34328358208955223
t2,정은원,2021,26,5,1,2,0,23,0,0,10,0,71,5,435,20,0.6063829787234043,0.6619718309859155
t3,정은원,2021,13,2,0,0,0,13,0,1,17,2,65,2,363,20,0.35,0.26153846153846155
t4,정은원,2021,21,4,4,1,0,12,0,2,16,0,76,5,370,20,0.4772727272727273,0.5921052631578947
t5,정은원,2021,19,4,0,0,0,13,1,2,15,0,64,1,362,17,0.47435897435897434,0.421875
t1,조용호,2021,13,1,1,0,1,12,0,0,14,0,62,2,346,20,0.37333333333333335,0.2903225806451613
t2,조용호,2021,16,3,0,0,1,12,0,0,7,2,58,2,309,20,0.4383561643835616,0.3793103448275862
t3,조용호,2021,16,3,0,0,0,15,0,4,17,1,68,1,381,20,0.40476190476190477,0.3235294117647059
t4,조용호,2021,16,4,0,0,0,10,0,1,15,0,70,3,333,20,0.375,0.34285714285714286
t5,조용호,2021,14,0,0,0,0,15,0,2,6,0,57,1,311,17,0.4027777777777778,0.24561403508771928
t1,배정대,2021,15,2,0,1,4,5,0,0,16,1,72,4,292,20,0.32926829268292684,0.3194444444444444
t2,배정대,2021,20,1,0,2,1,13,0,2,21,0,74,3,398,20,0.42045454545454547,0.40540540540540543
t3,배정대,2021,20,1,0,3,1,8,0,1,18,1,77,3,358,20,0.3793103448275862,0.44155844155844154
t4,배정대,2021,22,8,0,1,0,6,0,2,15,0,71,0,309,20,0.4805194805194805,0.5915492957746479
t5,배정대,2021,15,5,0,0,2,10,1,0,10,0,54,2,254,15,0.4925373134328358,0.46296296296296297
t1,박해민,2021,19,2,1,1,3,4,0,0,18,1,75,7,356,20,0.3614457831325301,0.4
t2,박해민,2021,21,4,0,2,0,12,0,0,14,2,68,5,378,20,0.47560975609756095,0.5441176470588235
t3,박해민,2021,15,4,0,0,0,12,1,2,13,3,73,6,353,20,0.3595505617977528,0.3150684931506849
t4,박해민,2021,30,7,0,0,0,9,0,0,9,2,78,12,389,20,0.5168539325842697,0.5641025641025641
t5,박해민,2021,13,1,0,1,0,9,1,0,9,0,51,2,262,15,0.4098360655737705,0.37254901960784315
t1,구자욱,2021,20,4,0,4,2,7,1,1,17,0,75,6,320,20,0.4470588235294118,0.5866666666666667
t2,구자욱,2021,19,3,3,2,0,7,0,0,12,0,83,2,381,20,0.37777777777777777,0.5060240963855421
t3,구자욱,2021,30,6,1,5,3,8,0,2,16,1,76,9,371,20,0.6022727272727273,0.8552631578947368
t4,구자욱,2021,23,5,1,1,0,1,0,0,13,0,84,1,324,20,0.36470588235294116,0.47619047619047616
t5,구자욱,2021,17,1,1,2,1,12,1,4,9,0,52,6,290,15,0.5303030303030303,0.5769230769230769
t1,추신수,2021,15,2,0,3,1,8,0,3,17,0,64,1,294,20,0.3972602739726027,0.484375
t2,추신수,2021,18,1,1,2,1,23,0,0,21,0,68,4,426,20,0.5,0.45588235294117646
t3,추신수,2021,15,3,0,4,2,9,0,4,22,0,66,4,314,20,0.42857142857142855,0.5606060606060606
t4,추신수,2021,16,4,0,2,2,16,1,0,13,0,61,2,306,20,0.5125,0.5245901639344263
t5,추신수,2021,12,1,0,4,4,9,0,1,12,0,45,6,264,13,0.5172413793103449,0.6666666666666666
t1,이원석,2021,9,2,0,0,3,7,0,5,6,1,63,0,278,20,0.28378378378378377,0.20634920634920634
t2,이원석,2021,17,6,0,2,4,8,0,2,18,0,58,0,292,20,0.5285714285714286,0.6379310344827587
t3,이원석,2021,14,0,0,1,1,8,2,1,8,0,52,0,215,20,0.4126984126984127,0.34615384615384615
t4,이원석,2021,21,4,0,2,0,13,0,1,10,0,66,0,333,20,0.5063291139240507,0.5606060606060606
t5,이원석,2021,10,2,0,2,1,7,0,0,9,0,42,1,209,13,0.44,0.5238095238095238
t1,강백호,2021,26,8,0,3,0,19,2,0,14,0,68,3,394,20,0.651685393258427,0.7941176470588235
t2,강백호,2021,30,6,0,3,0,15,0,0,10,0,77,1,416,20,0.5869565217391305,0.7012987012987013
t3,강백호,2021,21,7,0,3,0,18,4,2,17,0,68,0,367,20,0.5888888888888889,0.6911764705882353
t4,강백호,2021,26,3,0,3,0,10,2,1,15,0,73,1,358,20,0.5176470588235295,0.6027397260273972
t5,강백호,2021,25,3,1,1,0,5,0,1,4,0,51,2,230,13,0.625,0.7450980392156863
t1,최원준,2021,19,8,0,0,1,5,0,2,9,0,84,4,320,20,0.36666666666666664,0.4166666666666667
t2,최원준,2021,22,2,2,0,1,8,0,1,11,2,86,3,372,20,0.36082474226804123,0.37209302325581395
t3,최원준,2021,22,1,0,2,0,7,0,0,6,1,84,6,337,20,0.34782608695652173,0.38095238095238093
t4,최원준,2021,30,4,1,1,3,13,0,0,8,0,77,9,362,20,0.5591397849462365,0.5844155844155844
t5,최원준,2021,20,0,3,0,0,5,0,0,9,1,57,2,242,13,0.4444444444444444,0.5087719298245614
t1,전준우,2021,21,6,0,0,1,7,0,0,7,0,76,3,290,20,0.4166666666666667,0.4342105263157895
t2,전준우,2021,24,1,0,2,0,8,0,1,9,0,75,1,302,20,0.42168674698795183,0.4533333333333333
t3,전준우,2021,29,9,0,1,1,9,0,4,11,0,77,0,339,20,0.5632183908045977,0.6623376623376623
t4,전준우,2021,23,7,0,1,2,13,0,1,12,0,73,1,332,20,0.5227272727272727,0.5616438356164384
t5,전준우,2021,12,5,0,0,1,8,0,2,4,1,52,0,247,13,0.41935483870967744,0.4230769230769231
t1,양석환,2021,19,4,0,2,2,5,0,1,19,0,74,0,314,20,0.3950617283950617,0.47297297297297297
t2,양석환,2021,20,5,0,5,0,10,0,4,14,0,74,0,347,20,0.47619047619047616,0.6756756756756757
t3,양석환,2021,28,1,0,6,0,6,0,0,19,0,76,2,344,20,0.5,0.7105263157894737
t4,양석환,2021,15,0,0,5,1,7,0,1,22,0,72,0,337,20,0.35,0.4861111111111111
t5,양석환,2021,18,5,0,2,0,2,0,2,17,0,53,0,228,13,0.4909090909090909,0.6792452830188679
t1,페르난데스,2021,20,3,0,1,1,8,1,7,3,0,76,0,287,20,0.3953488372093023,0.39473684210526316
t2,페르난데스,2021,25,2,0,6,2,10,0,2,7,0,72,0,323,20,0.5357142857142857,0.7361111111111112
t3,페르난데스,2021,25,6,0,1,0,12,0,5,7,0,74,0,287,20,0.5116279069767442,0.5540540540540541
t4,페르난데스,2021,24,3,0,1,1,9,0,4,2,0,79,0,307,20,0.42696629213483145,0.43037974683544306
t5,페르난데스,2021,15,1,0,2,0,8,1,2,6,0,52,0,222,13,0.4426229508196721,0.4807692307692308
t1,서건창,2021,22,3,1,1,1,9,0,1,11,1,78,3,372,20,0.4157303370786517,0.44871794871794873
t2,서건창,2021,16,2,0,1,0,13,1,1,13,1,67,2,326,20,0.4024390243902439,0.3582089552238806
t3,서건창,2021,20,2,0,2,1,7,1,4,11,0,77,3,325,20,0.38372093023255816,0.4155844155844156
t4,서건창,2021,19,5,0,1,3,13,0,1,7,0,78,0,359,20,0.43617021276595747,0.4230769230769231
t5,서건창,2021,13,2,0,0,2,8,0,2,9,0,43,1,217,13,0.4716981132075472,0.3953488372093023
t1,이용규,2021,20,3,0,0,1,10,0,2,6,1,67,5,335,20,0.43037974683544306,0.3880597014925373
t2,이용규,2021,16,2,1,0,1,10,0,0,5,1,65,0,333,20,0.38961038961038963,0.35384615384615387
t3,이용규,2021,14,1,0,0,1,13,2,1,7,1,63,2,324,20,0.3875,0.25396825396825395
t4,이용규,2021,23,4,3,0,0,13,0,1,12,2,71,2,388,20,0.5,0.5633802816901409
t5,이용규,2021,13,0,2,0,0,6,0,0,5,1,41,1,231,13,0.4375,0.4634146341463415
t1,심우준,2021,12,3,1,0,0,2,0,0,8,1,55,2,228,20,0.3103448275862069,0.38181818181818183
t2,심우준,2021,18,4,0,1,1,7,0,0,13,2,60,4,284,20,0.44285714285714284,0.5
t3,심우준,2021,13,1,1,0,1,4,0,0,9,3,58,3,270,20,0.30303030303030304,0.3103448275862069
t4,심우준,2021,20,4,0,3,1,2,0,0,5,0,65,2,263,20,0.4411764705882353,0.6153846153846154
t5,심우준,2021,11,3,0,0,1,5,0,0,9,0,36,1,197,13,0.47619047619047616,0.4722222222222222
t1,최정,2021,23,5,0,7,6,12,0,1,8,0,56,2,283,20,0.7162162162162162,1.0892857142857142
t2,최정,2021,24,6,0,5,2,18,0,0,15,0,72,3,392,20,0.5978260869565217,0.7777777777777778
t3,최정,2021,14,0,1,4,0,8,0,3,17,0,70,0,345,20,0.34615384615384615,0.4714285714285714
t4,최정,2021,16,2,0,6,6,7,0,1,17,0,67,2,302,20,0.4625,0.6567164179104478
t5,최정,2021,10,1,0,3,2,7,0,0,8,0,35,1,189,12,0.5227272727272727,0.6857142857142857
t1,김현수,2021,18,3,0,2,0,12,1,2,4,0,74,0,295,20,0.41379310344827586,0.43243243243243246
t2,김현수,2021,23,4,0,2,0,12,1,2,1,0,71,0,311,20,0.5,0.5492957746478874
t3,김현수,2021,15,2,1,2,1,7,1,1,4,0,70,1,289,20,0.3670886075949367,0.42857142857142855
t4,김현수,2021,24,6,0,5,1,10,0,1,11,0,75,0,333,20,0.5348837209302325,0.7466666666666667
t5,김현수,2021,15,1,0,3,0,8,1,0,10,0,43,0,229,12,0.5384615384615384,0.6744186046511628
t1,하주석,2021,18,2,2,2,0,8,0,1,20,2,71,1,331,20,0.3950617283950617,0.5070422535211268
t2,하주석,2021,20,4,0,1,3,10,0,1,20,0,76,3,365,20,0.42696629213483145,0.42105263157894735
t3,하주석,2021,19,3,0,1,3,8,0,0,16,1,75,4,340,20,0.39080459770114945,0.38666666666666666
t4,하주석,2021,23,8,0,1,1,8,0,1,20,0,79,1,362,20,0.4659090909090909,0.5443037974683544
t5,하주석,2021,17,4,1,1,0,4,0,0,11,0,47,2,203,12,0.5294117647058824,0.6808510638297872
t1,홍창기,2021,30,5,0,0,3,15,1,0,10,0,74,4,376,20,0.5806451612903226,0.5405405405405406
t2,홍창기,2021,22,3,1,2,2,14,0,1,13,0,71,2,377,20,0.5057471264367817,0.5492957746478874
t3,홍창기,2021,23,3,1,1,1,8,0,3,15,0,84,0,378,20,0.3978494623655914,0.42857142857142855
