PCODE,NAME,year,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,start_date,end_date,gap,게임수,출루,장타,series_index
60523.0,정훈,2018,6,29,3,9,1,0,0,10,3,1,1,4,0,0,9,0,0,1,143,2.0,2018-07-05,2018-07-27,-22 days,15,0.5789473684210527,0.8823529411764706,t2
60523.0,정훈,2018,4,26,4,7,0,0,1,10,1,0,0,5,0,1,5,0,0,0,145,1.0,2018-06-09,2018-07-04,-25 days,15,0.42424242424242425,0.3793103448275862,t3
60523.0,정훈,2018,8,41,7,10,2,0,1,15,4,0,0,2,1,0,6,1,0,1,189,9.0,2018-05-22,2018-06-08,-17 days,15,0.4375,0.4230769230769231,t4
60523.0,정훈,2018,5,28,6,9,4,0,2,19,7,2,0,2,0,0,7,0,0,0,108,5.0,2018-05-01,2018-05-20,-19 days,15,0.36363636363636365,0.43902439024390244,t5
60523.0,정훈,2019,3,23,2,7,0,0,1,10,3,0,0,1,0,0,8,0,0,0,102,1.0,2019-07-28,2019-09-04,-38 days,15,0.2807017543859649,0.18,t1
60523.0,정훈,2019,6,26,2,7,1,1,0,10,3,0,2,4,0,0,3,1,1,0,110,5.0,2019-06-21,2019-07-27,-36 days,15,0.375,0.4782608695652174,t2
60523.0,정훈,2019,7,28,6,5,2,0,0,7,2,1,0,3,3,0,12,2,1,0,149,2.0,2019-05-03,2019-06-20,-48 days,15,0.41935483870967744,0.46153846153846156,t3
60523.0,정훈,2019,10,45,6,11,1,0,1,15,5,1,0,5,1,1,11,0,1,0,228,3.0,2019-04-11,2019-05-02,-21 days,15,0.37142857142857144,0.32142857142857145,t4
60523.0,정훈,2020,13,46,6,12,2,0,0,14,6,1,0,12,0,0,7,1,0,1,268,8.0,2020-09-24,2020-10-13,-19 days,15,0.3064516129032258,0.4067796610169492,t1
60523.0,정훈,2020,11,43,7,13,2,0,1,18,4,0,0,7,1,0,7,2,0,1,219,9.0,2020-09-04,2020-09-23,-19 days,15,0.4482758620689655,0.34782608695652173,t2
60523.0,정훈,2020,15,59,11,16,2,1,2,26,8,2,0,8,0,0,9,1,0,0,256,8.0,2020-08-18,2020-09-04,-17 days,15,0.47058823529411764,0.4883720930232558,t3
60523.0,정훈,2020,15,57,13,18,2,0,2,26,11,2,0,13,0,0,10,1,1,1,333,4.0,2020-07-25,2020-08-16,-22 days,15,0.43283582089552236,0.5254237288135594,t4
60523.0,정훈,2020,15,63,12,22,3,0,2,31,12,2,1,5,2,0,17,0,0,0,327,9.0,2020-07-04,2020-07-24,-20 days,15,0.49295774647887325,0.5263157894736842,t5
