,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,start_date,end_date,gap,게임수,장타
0,20,3,5,1,0,1,10,3,0,0,0,0,0,5,0,0,1,84,1.1089373945267185,2021-05-09,2021-05-30,-21 days,15,0.7154942404292943
1,20,3,5,1,0,1,10,4,0,0,0,0,0,5,0,0,0,84,1.0398553262764714,2021-05-09,2021-05-30,-21 days,15,0.7160605624532133
2,20,4,4,0,0,1,10,4,0,0,0,0,0,4,0,0,0,85,1.0676019669213985,2021-05-09,2021-05-30,-21 days,15,0.7179013587568742
3,20,3,4,1,1,1,10,3,0,1,0,0,0,4,0,0,1,85,0.9983494079448046,2021-05-09,2021-05-30,-21 days,14,0.7189100686151991
4,20,4,4,1,0,0,10,4,0,1,0,0,0,5,0,0,0,85,0.8643278225753666,2021-05-09,2021-05-30,-21 days,15,0.7172055626977781
5,20,3,5,1,1,0,11,4,0,0,0,0,0,5,0,0,0,84,0.9386061452170086,2021-05-09,2021-05-30,-21 days,15,0.7163655546932706
6,20,3,5,0,0,1,11,4,0,1,0,0,0,5,0,0,1,86,1.1362808338742187,2021-05-09,2021-05-30,-21 days,15,0.7216764394852332
7,24,2,8,1,0,0,10,4,1,0,0,0,0,4,1,3,0,86,0.08597997099325326,2021-05-09,2021-05-30,-21 days,14,0.7187981536187598
8,25,2,9,1,0,0,9,4,0,0,1,0,0,5,1,3,0,85,0.07245440396560399,2021-05-09,2021-05-30,-21 days,14,0.7230096566165783
9,25,1,8,0,0,0,9,4,0,0,0,0,0,5,1,3,0,87,0.1513096981266332,2021-05-09,2021-05-30,-21 days,14,0.7190713749069974
10,24,1,9,0,0,0,9,3,1,0,0,0,0,4,0,3,0,86,0.0,2021-05-09,2021-05-30,-21 days,14,0.7178635126917736
11,24,2,8,1,0,0,10,4,0,0,0,0,0,4,0,2,0,87,0.0,2021-05-09,2021-05-30,-21 days,15,0.7202185144954442
12,25,2,8,0,0,0,10,3,1,0,0,0,0,4,1,3,0,87,0.0,2021-05-09,2021-05-30,-21 days,14,0.719371176570407
13,25,2,8,0,0,0,9,3,1,0,0,0,0,5,1,2,0,87,0.0,2021-05-09,2021-05-30,-21 days,15,0.7206426936418199
14,52,6,15,3,0,1,25,9,0,0,0,0,0,5,2,0,1,181,4.033514751575994,2021-05-09,2021-05-30,-21 days,14,0.7196385307437272
15,53,6,16,2,0,2,24,10,0,0,0,0,0,6,2,0,1,176,3.9426196274256915,2021-05-09,2021-05-30,-21 days,15,0.7218438210384259
16,53,5,15,3,0,1,24,10,0,0,0,0,0,6,1,0,2,179,4.050200575624081,2021-05-09,2021-05-30,-21 days,15,0.719608100177038
17,53,5,15,2,0,1,24,10,0,0,0,0,0,6,1,0,2,179,4.027975914954056,2021-05-09,2021-05-30,-21 days,15,0.718098381716932
18,52,5,15,2,0,1,25,10,0,0,0,0,0,5,1,0,2,179,4.140512384661615,2021-05-09,2021-05-30,-21 days,14,0.722270748885366
19,52,6,16,3,0,2,24,10,0,0,0,0,0,6,2,0,1,178,3.9910774204418624,2021-05-09,2021-05-30,-21 days,14,0.718074821533833
20,52,6,16,2,0,1,24,10,0,0,0,0,0,6,2,0,2,178,3.996260549353426,2021-05-09,2021-05-30,-21 days,14,0.7164484095990845
21,59,8,15,1,0,5,33,9,0,0,6,0,0,11,2,0,0,269,7.00227230917064,2021-05-09,2021-05-30,-21 days,14,0.7193764407226014
