,PCODE,NAME,year,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,start_date,end_date,gap,게임수,출루,장타,series_index
0,60523.0,정훈,2018,5,31,5,12,2,0,2,20,4,1,0,1,0,0,9,3,0,0,125,4.0,2018-09-27,2018-10-14,-17 days,15,0.53125,0.7741935483870968,t0
1,60523.0,정훈,2018,1,17,8,6,1,1,1,12,6,0,1,2,0,0,2,0,0,0,82,1.0,2018-07-29,2018-09-26,-59 days,15,0.5789473684210527,0.8823529411764706,t1
2,60523.0,정훈,2018,6,29,3,9,1,0,0,10,3,1,1,4,0,0,9,0,0,1,143,2.0,2018-07-05,2018-07-27,-22 days,15,0.42424242424242425,0.3793103448275862,t2
3,60523.0,정훈,2018,4,26,4,7,0,0,1,10,1,0,0,5,0,1,5,0,0,0,145,1.0,2018-06-09,2018-07-04,-25 days,15,0.4375,0.4230769230769231,t3
4,60523.0,정훈,2018,8,41,7,10,2,0,1,15,4,0,0,2,1,0,6,1,0,1,189,9.0,2018-05-22,2018-06-08,-17 days,15,0.36363636363636365,0.43902439024390244,t4
5,60523.0,정훈,2018,5,28,6,9,4,0,2,19,7,2,0,2,0,0,7,0,0,0,108,5.0,2018-05-01,2018-05-20,-19 days,15,0.5666666666666667,0.8928571428571429,t5
6,60523.0,정훈,2019,14,50,6,9,0,0,0,9,1,1,1,7,0,0,8,1,0,1,248,1.0,2019-09-06,2019-10-01,-25 days,15,0.2807017543859649,0.18,t0
7,60523.0,정훈,2019,3,23,2,7,0,0,1,10,3,0,0,1,0,0,8,0,0,0,102,1.0,2019-07-28,2019-09-04,-38 days,15,0.375,0.4782608695652174,t1
8,60523.0,정훈,2019,6,26,2,7,1,1,0,10,3,0,2,4,0,0,3,1,1,0,110,5.0,2019-06-21,2019-07-27,-36 days,15,0.41935483870967744,0.46153846153846156,t2
9,60523.0,정훈,2019,7,28,6,5,2,0,0,7,2,1,0,3,3,0,12,2,1,0,149,2.0,2019-05-03,2019-06-20,-48 days,15,0.37142857142857144,0.32142857142857145,t3
10,60523.0,정훈,2019,10,45,6,11,1,0,1,15,5,1,0,5,1,1,11,0,1,0,228,3.0,2019-04-11,2019-05-02,-21 days,15,0.37735849056603776,0.37777777777777777,t4
11,60523.0,정훈,2019,4,18,4,4,0,0,0,4,3,1,0,3,1,0,5,0,0,0,95,1.0,2019-03-23,2019-04-10,-18 days,13,0.36363636363636365,0.2222222222222222,t5
12,60523.0,정훈,2020,15,59,7,14,1,0,2,21,5,3,0,2,0,0,15,2,1,0,256,4.0,2020-10-14,2020-10-30,-16 days,15,0.3064516129032258,0.4067796610169492,t0
13,60523.0,정훈,2020,13,46,6,12,2,0,0,14,6,1,0,12,0,0,7,1,0,1,268,8.0,2020-09-24,2020-10-13,-19 days,15,0.4482758620689655,0.34782608695652173,t1
14,60523.0,정훈,2020,11,43,7,13,2,0,1,18,4,0,0,7,1,0,7,2,0,1,219,9.0,2020-09-04,2020-09-23,-19 days,15,0.47058823529411764,0.4883720930232558,t2
15,60523.0,정훈,2020,15,59,11,16,2,1,2,26,8,2,0,8,0,0,9,1,0,0,256,8.0,2020-08-18,2020-09-04,-17 days,15,0.43283582089552236,0.5254237288135594,t3
16,60523.0,정훈,2020,15,57,13,18,2,0,2,26,11,2,0,13,0,0,10,1,1,1,333,4.0,2020-07-25,2020-08-16,-22 days,15,0.49295774647887325,0.5263157894736842,t4
17,60523.0,정훈,2020,15,63,12,22,3,0,2,31,12,2,1,5,2,0,17,0,0,0,327,9.0,2020-07-04,2020-07-24,-20 days,15,0.4857142857142857,0.5714285714285714,t5
18,60523.0,정훈,2020,14,61,10,17,5,0,1,25,6,0,0,6,0,0,14,1,0,0,279,10.0,2020-05-13,2020-07-03,-51 days,15,0.43283582089552236,0.5081967213114754,t6
19,60523.0,정훈,2020,6,22,6,9,2,0,1,14,6,1,0,3,1,0,6,0,0,1,107,4.0,2020-05-05,2020-05-12,-7 days,6,0.6153846153846154,0.7727272727272727,t7
20,60523.0,정훈,2021,15,50,9,14,5,1,1,24,6,0,0,15,0,1,9,1,0,0,254,5.0,2021-08-18,2021-09-08,-21 days,15,0.5606060606060606,0.62,t0
21,60523.0,정훈,2021,15,56,8,15,1,0,1,19,7,1,0,4,0,0,9,1,0,1,267,4.0,2021-06-26,2021-08-17,-52 days,15,0.35,0.375,t1
22,60523.0,정훈,2021,15,63,8,27,3,0,3,39,13,3,1,3,0,1,8,0,0,1,271,11.0,2021-06-09,2021-06-25,-16 days,15,0.5522388059701493,0.7142857142857143,t2
23,60523.0,정훈,2021,14,58,7,18,1,0,2,25,14,1,0,4,1,1,10,1,0,0,262,6.0,2021-05-21,2021-06-08,-18 days,15,0.421875,0.4827586206896552,t3
24,60523.0,정훈,2021,15,55,13,15,3,0,2,24,5,1,0,11,0,0,13,0,0,0,283,6.0,2021-04-29,2021-05-19,-20 days,15,0.4696969696969697,0.5272727272727272,t4
25,60523.0,정훈,2021,15,58,10,18,7,0,1,28,9,1,0,11,0,0,10,1,1,0,304,8.0,2021-04-08,2021-04-28,-20 days,15,0.5285714285714286,0.6206896551724138,t5
26,60523.0,정훈,2021,3,12,2,4,1,0,1,8,3,0,0,2,0,0,3,0,0,0,64,2.0,2021-04-04,2021-04-07,-3 days,3,0.5714285714285714,0.8333333333333334,t6
27,60558.0,오태곤,2018,10,40,9,7,1,0,0,8,4,2,1,3,0,0,10,0,0,0,156,3.0,2018-09-16,2018-10-13,-27 days,15,0.2558139534883721,0.225,t0
28,60558.0,오태곤,2018,11,49,6,10,1,0,3,20,11,1,2,2,1,0,13,1,1,1,209,3.0,2018-08-08,2018-09-15,-38 days,15,0.32075471698113206,0.4897959183673469,t1
29,60558.0,오태곤,2018,5,26,4,7,1,0,0,8,0,2,0,1,0,0,8,1,0,0,104,0.0,2018-07-18,2018-08-07,-20 days,15,0.3333333333333333,0.34615384615384615,t2
30,60558.0,오태곤,2018,11,41,5,10,3,1,1,18,5,1,0,5,0,0,13,2,0,0,177,5.0,2018-06-17,2018-07-17,-30 days,15,0.43478260869565216,0.5609756097560976,t3
31,60558.0,오태곤,2018,13,49,4,14,2,0,2,22,3,2,3,5,0,0,16,2,2,0,214,1.0,2018-05-31,2018-06-16,-16 days,15,0.4107142857142857,0.5306122448979592,t4
32,60558.0,오태곤,2018,10,43,9,12,3,1,1,20,3,2,0,0,1,0,10,1,0,0,160,5.0,2018-05-13,2018-05-30,-17 days,15,0.4090909090909091,0.5813953488372093,t5
33,60558.0,오태곤,2018,10,40,9,14,4,0,2,24,5,1,1,5,0,0,12,0,0,0,186,3.0,2018-04-22,2018-05-11,-19 days,15,0.5555555555555556,0.75,t6
34,60558.0,오태곤,2018,9,37,4,8,1,0,2,15,5,1,0,1,2,0,8,0,0,0,129,3.0,2018-04-03,2018-04-21,-18 days,15,0.35,0.4864864864864865,t7
35,60558.0,오태곤,2018,4,17,5,5,1,0,1,9,3,1,1,2,0,0,2,0,0,0,68,0.0,2018-03-24,2018-04-01,-8 days,8,0.47368421052631576,0.6470588235294118,t8
36,60558.0,오태곤,2019,8,29,4,7,1,0,1,11,5,3,0,3,0,0,8,2,0,0,122,4.0,2019-08-28,2019-09-29,-32 days,15,0.375,0.4482758620689655,t0
37,60558.0,오태곤,2019,10,46,4,6,2,0,0,8,0,0,0,2,0,0,11,1,0,0,175,2.0,2019-08-09,2019-08-27,-18 days,15,0.20833333333333334,0.21739130434782608,t1
38,60558.0,오태곤,2019,15,64,14,24,4,1,3,39,11,3,0,2,0,0,12,1,0,0,229,7.0,2019-07-13,2019-08-08,-26 days,15,0.5151515151515151,0.734375,t2
39,60558.0,오태곤,2019,13,43,11,13,3,0,0,16,6,3,0,4,0,0,8,0,0,1,185,3.0,2019-06-23,2019-07-12,-19 days,15,0.425531914893617,0.4418604651162791,t3
40,60558.0,오태곤,2019,6,25,8,4,1,0,0,5,2,1,0,0,0,0,7,1,0,0,96,1.0,2019-06-02,2019-06-22,-20 days,15,0.2,0.24,t4
